id,feature0,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,label
000000044360,-.00849,-.03545,-.87401,-.99978,-.99283,-.95237,-.00617,-.07224,.28766,.10875,-.95020,-.99389,.75033,.74663,.21181,.43865,-.07836,.21421,-.39151,-.08874,1
000000044474,-.30082,.36727,-.18549,-.39575,.74080,.69743,-.04710,.19670,-.91406,-.91311,-.18625,.07016,.71986,.35089,.95008,.57533,1.00000,.80568,.96089,.75703,0
000000046013,.16474,-.07245,-.14572,-.20252,-.69789,-.87094,-.03475,-.00875,.03408,.06629,-.99829,-.99882,.73582,.80141,.86860,.92544,.79861,.95821,.74751,.80890,1
000000048044,.72198,-.59144,.28729,.22180,.03309,-.94676,.42223,-.43882,-.90709,.97919,-.08706,.06292,.88510,.96728,.87698,.93637,.59664,.80198,.42065,.89534,0
000000048398,-.08818,.19550,-.97107,-.37805,.88451,-.84624,-.06307,.15044,-.42894,-.94341,-.99656,.63012,.77257,.64339,.58224,.74129,.42877,.82291,-.36998,.66970,0
000000049022,.13447,-.03497,-.37223,-.47587,-.42184,-.99874,-.12947,.10685,.04945,.68430,-.99695,-.81988,.46123,.58465,.72336,.78144,.92385,.80799,.95046,.57073,0
000000051083,.09496,-.09554,-.19316,-.11353,.14283,-.07435,.13301,-.07200,.64164,-.99908,-.76482,.96924,.53323,.63517,.82750,.92326,.99843,.97573,.99967,.98122,0
000000051512,.20225,-.20252,-.28970,-.18160,.38810,-.93856,.01483,-.01395,.00050,-.01757,-.99104,-.99296,.64223,.78091,.78115,.94854,.92728,.99226,.89396,.93733,1
000000052348,.09603,-.23069,-.35534,-.85794,-.82387,-.99771,.03875,-.04066,.02676,.10756,-.99389,-.99042,.77700,.85430,.84184,.79187,.74644,.77922,.80397,.31314,1
000000054324,.33281,-.22230,-.21646,-.16346,-.99749,-.75721,.02530,-.02746,.20904,.00018,-.99950,-.98740,.85125,.91150,.84983,.98420,.83672,.99515,.90197,.97498,1
000000057256,.13507,.11604,-.02655,-.28360,-.96454,-.97982,.05432,.02549,-.01496,.15017,-.99893,-.99999,.81432,.79973,.93185,.86505,.97452,.90999,.89588,.89327,1
000000057631,.23576,-.11632,-.14896,-.23550,-.99641,-.18523,.11063,-.05167,.55526,-.06232,-.75301,-.97556,.64344,.75710,.83662,.91860,.85436,.97564,.85228,.88602,0
000000057978,.06253,-.20018,-.22929,-.24520,-.99018,-.93899,-.01997,-.09990,-.02586,-.15019,-.99959,-.99958,.88789,.83442,.93091,.95556,.95480,.99171,.94703,.96719,1
000000060548,.12023,.02411,-.70602,-.92158,-.96727,-.99990,.05294,.17671,-.54942,.84732,-.70863,-.95792,.78825,.74936,.71409,.55119,.73559,.48564,.91041,-.33695,0
000000062129,-.15696,.12154,-.29301,-.35153,-.55813,-.97479,.02250,-.02881,-.13623,.15308,-.99934,-.99951,.86967,.76448,.95007,.82682,.99947,.87545,.96551,.91501,1
000000064593,.05519,.06239,-.49520,-.61391,.97146,.37603,-.06642,.05572,-.12086,.01818,-.99757,-.99844,.68874,.70468,.76060,.72512,.83153,.97202,-.01525,.89512,1
000000065209,.12624,-.05488,-.84625,-.41011,.64535,.58495,.12069,.09934,-.84480,-.41185,.22280,.88851,.66618,.75623,.56905,.83980,.75898,.98198,.61504,.75115,0
000000066909,.16151,-.11063,-.19545,-.33111,-.99501,-.99092,-.00406,-.07431,-.06454,-.08038,-.98402,-.99962,.73613,.81232,.85139,.90834,.86737,.95086,.83828,.84951,1
000000067117,.10505,-.10634,.00022,-.06195,-.96267,-.91870,.41987,-.58230,-.14923,.17186,-.99502,-.98792,.89586,.86377,.96943,.98068,.95738,.99989,.75789,.94237,1
000000067470,.19502,-.26867,-.12928,-.39832,-.99886,-.97821,.23977,-.02971,-.73366,-.41015,-.48074,-.98915,.71906,.83926,.86349,.92954,.88312,.93164,.89440,.71087,0
000000068689,.00899,-.07161,-.25215,-.87899,-.99872,.33111,.01833,-.09855,.00194,-.00796,-.98195,-.95750,.81016,.78694,.89900,.67994,.92508,.92946,.89735,.76409,1
000000070240,-.00018,-.08039,-.74953,-.64053,.11901,-.01008,-.03674,.02539,.02631,.03204,-.99918,-.99989,.76894,.80755,.71825,.81186,.91498,.95945,.86872,.83632,1
000000072210,.11838,-.11499,-.10057,-.14810,-.98045,-.88210,.02075,-.02030,.13230,-.03806,-.99667,-.99857,.68997,.79388,.87030,.94119,.93072,.99169,.93917,.93771,1
000000073832,-.04078,.03819,-.37081,-.20384,-.97086,-.99997,.07013,-.06280,.00203,-.10245,-.99987,-.51076,.81586,.78873,.88601,.90429,.87284,.92964,.62997,.94793,1
000000075810,.12923,-.06499,-.85494,.18739,-.98757,-.45198,-.01342,.03580,-.96948,.70188,-.85156,-.60540,.66050,.77415,.52112,.98846,.42995,.90738,.40822,.91814,0
000000076034,-.13032,.04051,-.30885,-.29201,-.77767,-.57611,-.03063,.06484,-.99626,-.96708,.69331,.82345,.83048,.81401,.91138,.87605,.97994,.95179,.95101,.85653,0
000000078288,-.05410,.17142,-.24392,-.05734,-.87993,-1.00000,-.03422,-.01735,-.18890,-.07786,-.99928,-.99922,.80710,.78973,.92218,.91300,.98308,.93724,.93257,.93428,1
000000079544,.07224,-.07562,-.16893,-.29026,-.08314,.69926,.15890,-.04240,.15483,-.08731,-.99998,-.99704,.68457,.71501,.86658,.88244,.99584,.98434,.98623,.94709,1
000000081434,-.19019,.22909,-.33290,-.20204,-.67557,-.96187,.03102,-.02502,.06678,-.12225,-.99987,-.99617,.83846,.68843,.93828,.81587,.99832,.89199,.93353,.93590,1
000000081714,-.00031,.00127,-.03939,-.13798,-.83563,-.63647,-.00086,.00289,-.83370,-.93759,-.55395,-.36403,.52011,.57143,-.44728,-.53026,-.87462,-.90089,.93912,.95327,0
000000083654,-.00045,.02839,-.16817,-.22913,-.94717,.16780,.05923,-.12646,.14625,-.24051,-.99032,-.99509,.77211,.79072,.89820,.90127,.89424,.96681,.80548,.88887,1
000000084397,.24179,-.18122,-.88146,-.71215,-.99769,-.98994,.37335,-.46609,-.82780,.53357,-.51974,-.79570,.35013,.63560,.28717,.74290,.24185,.80429,-.10497,.86914,1
000000084896,-.01410,.16923,-.24500,-.10525,-.99683,-.89752,.00808,-.06681,.04933,.00127,-.99396,-1.00000,.73985,.64689,.90235,.86359,.93746,.95559,.92191,.90082,1
000000084902,-.10295,.08499,-.04238,-.03302,.44239,-.05317,.14826,-.27612,-.98469,.99553,.85520,.81192,.71762,.59692,.96171,.90294,.87242,.99956,.57792,.95576,0
000000085247,-.16593,.16735,-.19641,-.19866,-.48081,-.45771,-.06083,.06210,-.95818,-.89994,-.19608,-.34570,.68092,.46554,.92635,.78928,.99941,.93273,.97727,.95101,0
000000085372,.20890,-.12788,-.49539,-.29320,.99968,.96904,.04504,.13933,.26458,.04744,-.99499,-.99704,.78734,.88655,.76599,.95274,.78667,.97278,.41240,.65217,1
000000086530,.02522,-.02560,-.53089,-.46571,.37777,-.20934,.01173,-.01239,-.07694,.14042,-.96846,-.99660,.49497,.51642,.70463,.75071,.80690,.84154,.71500,.71542,1
000000086987,-.12352,.12502,-.12451,.12446,.12641,.04519,-.06088,.03525,.04164,.00044,-.99623,-.88807,.72878,.63069,.93722,.91384,.98064,.97479,.96340,.91321,1
000000088433,.04612,-.00050,-.13648,-.33836,-.82388,-.91975,.01445,-.00849,-.08258,-.08158,-.99919,-.99631,.75363,.82582,.89128,.88682,.85189,.93478,.75804,.81211,1
000000088605,.17230,-.29944,-.65299,-.66042,.83098,.11124,.00138,-.11916,-.04475,-.07147,-.98679,-.99698,.74393,.85766,.69636,.89038,.52912,.98723,.23094,.82364,1
000000088825,.28499,-.33585,-.82772,-.56067,-.25617,-.48365,-.05388,.01771,-.01830,-.33771,-.98249,-.96557,.66917,.84353,.48211,.91050,.76151,.99715,.84231,.87235,1
000000090061,-.11508,.08700,-.25270,-.22711,-.86312,-.79942,-.00034,-.00070,.10222,-.08734,-.99674,-.99931,.82969,.77922,.93100,.87913,.97956,.95945,.93617,.93509,1
000000091996,-.43206,.46059,-.44626,-.00094,-.29059,-.98653,-.10156,.15753,.14418,-.07076,-.98321,-.96503,.83248,.41659,.93725,.68452,.99945,.75498,.92230,.75615,1
000000092366,-.26113,.25980,.13468,-.29929,-.65742,-.90103,-.10402,.10109,.24875,.13864,-.98368,-.96798,.88972,.81520,.99994,.83038,.90543,.74043,.91718,.70065,1
000000093287,.01134,.02339,-.22437,-.18584,-.61736,-.95184,-.00063,.05768,.13939,.08214,-.99804,-.99787,.83707,.82490,.91396,.91972,.82697,.97211,.66939,.93423,1
000000093851,.05454,-.05672,-.31906,-.12067,-.72628,-.99548,.06781,-.02406,.02579,-.08603,-.99313,-1.00000,.74378,.77409,.84290,.92639,.94393,.96626,.90609,.91045,1
000000094382,-.00552,-.03803,-.01332,-.30351,-.95478,-.99857,-.00692,.11797,-.46840,.17690,-.94683,-.99999,.75704,.72507,.93963,.86239,.98662,.90593,.99997,.69005,1
000000094714,-.28455,.34626,-.25308,.74437,.46841,-.55149,-.03488,.03297,.01506,-.11234,-.99978,-1.00000,.89701,.83580,.98275,.99077,.81727,.81524,.40697,.44545,1
000000097170,.11249,-.02014,-.65546,-.49483,-.87812,-.79238,-.06140,-.04995,-.21620,.12552,-.90779,-.99248,.46738,.60340,.57382,.76425,.69056,.85137,.70573,.59630,0
000000097270,-.78709,.75248,.07030,-.81602,-.34707,-.95323,-.63372,.62518,.89366,-.97871,.14409,-.29145,.91251,-.18853,.93971,-.22090,.52402,-.07450,.64448,.15693,0
000000097748,.27528,-.18204,.00816,.02101,-.61026,.06052,.11694,-.03197,-.92465,.52590,-.13913,-.97546,.61435,.80072,.83900,.98013,.78999,.92721,.76984,.94236,0
000000098937,.54860,-.42201,-.07285,-.10544,-.80819,-.46318,.15051,-.13363,.11048,.09616,-.71115,-.99985,.71298,.89850,.75825,.99248,.71100,.95700,.57593,.98454,1
000000099099,.14919,-.19754,.64194,-.81625,-.13651,-.84283,.15964,.10187,-.46268,-.91581,.99948,.78512,.63244,.76769,.92677,.30867,.58809,.21895,-.41355,-.42971,0
000000099615,-.00198,.00420,-.42789,-.38409,-.61545,-.93857,.00117,-.00038,-.02966,-.02957,-.99957,-.99922,.77984,.78926,.82823,.84151,.94657,.91049,.85157,.78636,1
000000099707,.03922,-.03695,-.14826,-.42697,-.59044,-.74436,-.05282,.05296,.17875,-.04251,-.99225,-.99775,.69241,.70612,.88955,.82728,.99760,.93912,.98912,.91132,1
000000104821,-.17574,.19921,.18947,-.22850,-.09173,.01868,.02966,.08362,.15004,-.40321,-.98364,-.99874,.85536,.68564,.97147,.79603,.98554,.79559,.83996,.61497,1
000000104846,-.05675,.05677,-.72683,-.24408,-.91979,-.43593,.21725,.05867,-.99513,-.63476,.04667,.79275,.65088,.57771,.68759,.80483,.76836,.97935,.68548,.93844,0
000000106199,-.23455,.23494,-.26665,-.32044,-.28649,-.61947,.03367,-.03211,-.07941,.06403,-.99941,-.99294,.86312,.77475,.95756,.81306,.99953,.90205,.94229,.91985,1
000000107205,.24261,-.21042,-.11952,-.20621,-.99992,-.99889,.04556,-.14152,-.37861,-.23923,-.99396,-.97277,.78474,.85081,.86723,.95856,.88754,.97742,.91094,.82878,1
000000107367,-.07043,.05757,-.84781,-.73019,-.50746,-.83877,-.07728,.13676,-.09074,-.00484,-.99347,-.99689,.73575,.71783,.66747,.67568,.40115,.52752,.11334,.32584,1
000000109738,.20978,-.27075,-.62466,-.17695,-.28961,-.44572,-.18759,.14163,-.70120,.99789,.51468,-.56255,.69754,.85836,.67042,.96955,.49426,.99834,.46937,.94041,0
000000110488,.03394,-.03382,-.19112,-.07872,-.99571,-.98761,-.01146,.01177,.06615,-.00113,-.99621,-.99455,.77980,.75179,.90767,.93737,.94372,.97644,.91934,.94385,1
000000110509,-.00597,.07283,-.27981,-.31982,.73401,.84172,.03295,.09882,-.83629,-.71507,-.55242,-.51989,.30152,.27127,.78681,.75713,.92970,.86375,.86452,.80998,0
000000110906,.16910,-.28214,-.23957,-.08127,-.99577,-.98583,-.02488,.02149,.20020,.32259,-.99572,-.71653,.92522,.93874,.92056,.99691,.90631,.99733,.95595,.97812,1
000000112182,-.25174,.33186,-.36804,-.15167,-.91336,-.96145,.01914,.08362,-.02518,-.00436,-.99109,-.92333,.87812,.80702,.94996,.84562,.99345,.82189,.96743,.65833,1
000000114045,-.00020,.05699,-.29730,-.24818,-.70061,.06191,.05949,.01716,-.01925,.04743,-.99697,-.99468,.84168,.83225,.90395,.90194,.95944,.97367,.90697,.91011,1
000000117403,-.00944,-.03744,-.57964,-.53729,.78655,.58940,-.05972,.05128,-.01141,-.02567,-.99912,-.99592,.81123,.82565,.81622,.84394,.64097,.99994,.23471,.99917,1
000000119502,.45945,-.49812,-.34554,-.61672,-.99963,.18915,.29057,-.22008,-.84243,-.07149,-.37965,-.97619,.19640,.79532,.49552,.91277,.57318,1.00000,.72022,.93230,0
000000119766,-.02186,-.01201,-.34290,-.32514,-.96162,-.93328,-.05546,.14834,-.06161,.01326,-.99382,-.98963,.77461,.78168,.87739,.87090,.93811,.85880,.89089,.68991,1
000000122752,.35810,-.32036,-.53557,-.27138,-.16022,-.30817,.14531,-.05250,-.97662,-.98834,.86851,.77686,.63753,.78463,.61416,.94296,.76044,.99973,.69146,.96681,0
000000122937,.06477,-.06566,-.46001,-.15041,.97798,.88446,.08822,-.20958,-.63730,.08381,.94748,.90487,.73774,.77406,.78964,.86535,.48616,.91496,-.20368,-.99452,0
000000123333,.28719,-.26354,-.17322,-.29715,-.99772,-.96539,.10544,-.18447,-.99914,.75412,.32132,-.60635,.63179,.81019,.79201,.94440,.84412,.98968,.87071,.91389,0
000000124197,-.03144,-.00050,-.25023,-.17081,-.97062,-.98520,-.00147,-.00094,-.08674,-.04287,-.99628,-.99996,.81979,.79615,.91316,.91686,.95976,.95826,.92171,.91812,1
000000126097,.08446,.03883,.30940,-.26702,-.67286,.99697,.01359,-.01389,.87773,-.90616,-.59604,-.38680,.59586,.67826,.96039,.86434,.97987,.79009,.98343,.38765,0
000000126613,.16405,-.24061,-.47062,-.80754,-.12767,-.01440,.08497,-.07157,-.86676,.90844,-.39749,-.35758,.46537,.63122,.66605,.70201,.89314,.89266,.94009,.65529,0
000000127073,-.06618,.09541,-.09424,-.01140,-.73299,-.13870,.29504,-.07334,-.79410,-.55840,-.37513,-.74628,.65895,.61265,.92759,.90818,.97269,.99950,.88601,.97789,0
000000127863,.16985,-.24976,-.99680,-.27793,.29253,.99909,-.12243,.20755,.28858,-.89387,.93611,.44163,.66975,.79460,.30165,.96023,.18890,.94445,-.07904,.70399,0
000000128135,-.30470,.22758,-.40234,-.32393,.81625,-.89935,-.06197,.00005,.04165,.06321,-.99982,-.99799,.76047,.47138,.94026,.72112,.86409,.86145,.56645,.92938,1
000000129247,.20510,-.15501,-.28425,-.36510,.90478,-.97858,.01495,.05362,.11831,-.03294,-.99968,-.99934,.68112,.82537,.78912,.91837,.90017,.95803,.51102,.83432,1
000000129490,.12334,-.12069,-.86504,-.20206,.17827,-.97919,.02615,-.02687,.03091,-.66649,-.99953,-.50867,.69120,.78784,.54564,.93552,.82141,.97224,.70340,.91365,1
000000130096,.17393,-.12935,-.05806,-.32016,.56218,-.94886,.05057,.01532,.06438,-.04548,-.99653,-.99443,.66406,.76495,.85329,.89847,.65572,.95688,.36074,.87779,1
000000130419,-.11470,.17128,-.28896,-.12332,.26297,-.05965,-.05570,.05449,.09027,-.16507,-.99900,-.99259,.75072,.65086,.91324,.84441,.99957,.65030,.99745,.49070,1
000000130685,.19284,-.18457,-.17082,-.44850,-.99898,-.98307,.06941,-.09683,-.40523,-.12509,-.99523,-.98066,.55690,.70854,.80289,.85982,.84298,.92418,.76816,.86893,1
000000131735,.03369,-.07814,-.30132,-.23261,-.99132,-.96411,.03325,.02656,-.05572,.13328,-.99760,-.99918,.76135,.76243,.87259,.90902,.91613,.96699,.90679,.89856,1
000000132515,.19102,-.08500,-.89677,-.41277,-.44545,-.90968,-.03669,.03688,.16580,.04901,-.99480,-.99528,.75684,.81921,.26926,.88101,-.74169,.95550,-.83606,.85277,1
000000132564,-.12684,.12618,-.19188,-.33334,-.99382,-.97914,.02102,.02225,.05507,-.09323,-.99969,-.99622,.84409,.78682,.94402,.83304,.97616,.85761,.91453,.69815,1
000000133615,.19126,-.18698,-.32663,-.35633,.78705,.19883,-.00124,.06489,.06616,-.08176,-.99325,-.99982,.64022,.78210,.78050,.91857,.89273,.99971,.89502,.95272,1
000000133667,.07102,.02856,-.66943,-.66920,-.99234,-.75999,-.14595,.08836,-.96641,-.76071,-.37812,.70676,.84012,.81613,.77940,.77539,.73269,.89135,.51082,.77425,0
000000136070,.05581,-.18731,-.21461,-.14803,-.05476,-.01094,.18921,.00011,-.68142,-.70666,-.59251,-.84232,.55678,.68485,.84551,.95127,.98163,.99988,.99734,.97796,0
000000138200,-.14496,.27104,-.13656,.65048,.89371,.42036,-.00087,-.02503,-.85400,.71994,.83864,.84034,.90226,.81054,.98092,1.00000,.90732,.85481,.60792,.17639,0
000000138562,-.03151,.00310,-.04718,.00129,-.98328,-.93951,-.11715,.12384,-.09168,.20678,-.99898,-.99778,.67058,.68010,.93892,.95225,.98722,.99743,.98034,.99624,1
000000139215,-.02131,.01611,-.27488,-.19618,-.96681,-.86703,-.02025,.01790,.00088,-.00159,-.99999,-.98288,.80822,.77976,.90446,.90833,.95200,.97423,.93548,.92556,1
000000139595,.07607,-.07638,-.63941,-.75722,-.96069,-.19828,.23658,-.35526,-.28231,-.05906,-.48346,-.79814,.85079,.85865,.78064,.77498,.69186,.94938,.62091,.84456,0
000000141197,.00222,.00073,-.20191,-.03592,-.99731,.94236,.02064,.05951,.11005,.03426,-.99779,-.99889,.79456,.77787,.90582,.93435,.94252,.80405,.87990,.41895,1
000000141759,.09671,.05025,-.39365,-.29715,-.99193,-.61704,-.04415,.00067,-.17945,.03728,-.99926,-.99888,.72857,.74737,.81293,.85945,.85185,.96400,.82100,.86678,1
000000142726,-.00202,.00249,-.92863,-.30676,.87308,-.93297,-.01657,.01692,.20660,-.22239,-.99970,-.99936,.69194,.75743,.59110,.87425,.41784,.93338,-.37209,.86740,1
000000143140,-.57347,.57192,.35818,-.49249,-.58564,-.94507,-.58234,.31094,.77048,-.98300,-.46443,-.37810,.96293,.90717,.88749,.64190,.60365,.52834,.89933,.83062,0
000000144379,.00244,-.05822,-.16241,-.10309,-.99217,-.99681,.08858,-.08582,-.05320,.02969,-.99109,-.99986,.84248,.82118,.93083,.94033,.93959,.96244,.88741,.91760,1
000000146654,-.14360,.19944,-.68197,-.31059,-.53383,-.96508,.01627,-.01598,-.10344,-.25936,-.99716,-.99956,.84697,.76476,.83546,.82513,.96638,.87273,.83096,.88115,1
000000146676,.10489,-.00033,-.48919,-.58214,.53652,.99840,-.07268,.07214,-.01744,.05989,-.98584,-.95266,.79956,.80036,.80896,.80694,.72387,.79568,.62557,.20483,1
000000147913,.02047,-.03083,-.02783,-.46886,-.90130,-.99255,.06122,-.15698,-.37206,-.14292,-.99980,-.99931,.82794,.78361,.95570,.84184,.99622,.87472,.96310,.85337,1
000000148931,.07541,-.04086,-.17794,-.25154,-.99614,.84721,-.02941,.02861,-.13707,-.09783,-.99723,-.99700,.71100,.72196,.87907,.88474,.92400,.75941,.91608,.36874,1
000000149358,.22365,-.26334,.34713,.15557,.80053,.92630,-.28540,.28983,.63869,-.41920,-.73533,-.90743,.21111,.69375,.93628,.99982,.98805,.99998,.98696,.89554,0
000000150538,.30590,-.39438,-.14982,.00198,.85270,.76400,.19087,-.18879,-.99619,-.99996,-.05913,-.00412,.42712,.74584,.75551,.99099,.88994,.99671,.78795,.99997,0
000000151300,.08038,.04058,-.44117,-.48747,-.09100,.27564,-.03247,.08735,.89509,.70626,-.65671,-.61941,.68259,.69002,.79130,.77351,.94191,.90993,.98385,.53886,0
000000152079,.56694,-.48305,-.00823,-.09078,-.99988,-.91024,.32545,-.21920,-.08169,-.31741,-.91293,-.97351,.32383,.82447,.57977,.99399,.63575,.99333,.25543,.98925,0
000000152237,-.48222,.44825,-.10071,-.23357,-.12669,.27089,.19205,-.14063,-.05343,.38740,-.91884,-.91817,.86473,.62757,.99581,.71368,.99305,.97521,.93629,.98627,0
000000154008,.10117,-.22961,-.28079,-.25851,-.94927,-.99550,.05931,-.01247,.13063,-.04232,-.99523,-.99577,.75399,.81926,.85730,.94433,.92592,.97827,.90104,.93783,1
000000154547,-.13460,.01580,-.58316,-.74081,-.47559,-.73795,.05208,-.02444,.14826,-.15508,-.90743,-.70566,.76196,.78248,.81279,.73644,.65252,.58625,.31045,.31924,1
000000154847,-.07699,-.01996,.16550,-.35414,.04167,.38731,-.12069,.12254,-.12317,-.04456,-.96656,-.99743,.75932,.79671,.98707,.89103,.87014,.71956,.76509,.54014,1
000000155509,.01860,-.07962,-.41122,-.34028,-.98196,-.82138,-.08153,.01842,-.03801,-.02628,-.99388,-.97168,.77901,.83529,.83933,.90508,.87173,.95486,.73014,.88442,1
000000158747,-.17250,.21602,-.31705,-.32840,-.74798,-.86315,.05332,-.07406,.04746,-.04359,-.99262,-.99265,.83354,.76668,.92109,.80901,.97822,.88981,.86277,.87017,1
000000160345,.82870,-.85034,-.28598,-.21458,-.03626,.24633,-.02351,.11156,-.99608,-.98823,-.00034,.03068,-.71002,.91225,-.97291,.24715,-.56871,-.49389,.99845,.99989,0
000000160837,-.17219,.17577,-.43432,-.63637,-.89043,-.51299,-.00436,.07815,-.17137,.05416,-.99679,-.98322,.83956,.74373,.90004,.70432,.87554,.54785,.61732,.27692,1
000000161917,-.11256,.02618,-.25421,-.22616,-.87955,-.98209,.02279,-.03357,-.05455,-.08274,-.98944,-.99998,.81206,.76184,.91944,.88561,.98521,.94010,.93981,.93101,1
000000163127,.65898,-.60080,-.55012,.14098,.93561,-.26621,.32295,-.27050,-.41580,.24689,-.99862,-.97735,.40435,.89456,.29467,.94869,.47634,.60218,.82945,.95439,1
000000163230,.06343,-.06185,-.52690,-.70868,-.98952,-.98377,-.01482,.01446,-.16780,-.19998,-.99986,-.99111,.50950,.63133,-.39040,-.13390,-.68614,-.42963,-.72830,-.63852,1
000000164659,.26845,-.22687,-.82311,.02539,-.92486,-.12943,-.08405,.00704,.30108,.10426,-.98654,-.99999,.79080,.88065,.56439,.99549,.35221,.92914,.39813,.97272,1
000000166504,-.07665,.00655,.08340,-.50265,-.26410,-.94433,-.34593,.34748,.22249,-.38318,-.88736,-.43169,.57164,.62217,.96728,.75921,.96927,.73505,.78772,.28210,1
000000167235,-.14403,.14593,-.44184,-.12838,-.97845,-.97347,.08928,-.20294,-.11136,.51662,.94112,-.68411,.84897,.65904,.90823,.84115,.89787,.85325,.74509,.81671,0
000000167728,-.19259,.14239,-.31668,-.42086,-.98939,-.99988,.01535,-.01496,.05379,-.01630,-.99983,-.99392,.81247,.66047,.92988,.76425,.93516,.79429,.78191,.78624,1
000000168231,.06914,-.06449,-.34451,-.26428,-.18679,-.96853,-.03955,.03398,.01268,.04264,-.99988,-.98631,.74456,.79279,.83203,.90883,.69346,.96069,.46322,.89471,1
000000168775,.49841,-.45914,.06886,-.35884,.19433,.35916,.07818,-.05152,.29770,-.16770,-.99978,-.99997,.51519,.84230,.76324,.97833,.38721,.99727,.29757,.97996,1
000000169539,-.04494,.07114,-.03911,-.13017,-.73182,-.88885,-.15153,.00832,-.17197,.09798,-.99526,-.99754,.75849,.74866,.93685,.89004,.99955,.96755,.99497,.95109,1
000000170108,.06375,.07327,-.30846,-.12749,-.58012,-.55543,-.02223,-.08425,.03476,-.10962,-1.00000,-.99954,.65808,.68079,.82229,.87697,.95923,.96359,.92975,.91124,1
000000170118,-.22104,.25962,-.18954,-.30659,.99394,-.83837,-.17576,.10494,.17575,.43645,-.46923,.96023,.73340,.49292,.95799,.72175,.87353,.63303,.26817,.76080,0
000000170506,.39505,-.39536,-.10371,-.27521,-.97964,-.03739,.04667,-.11429,.32121,-.21978,-.99171,-.99652,.68606,.87430,.79688,.98086,.78473,.96387,.87350,.99999,1
